uf,tipo_doenca,local_obito,faixa_etaria,sexo,total,uf_int,tipo_doenca_int,local_obito_int,faixa_etaria_int,sexo_int
BA,COVID,HOSPITAL,< 9,M,1,4,1,1,0,1
BA,COVID,OUTROS_SERVICOS_SAUDE,< 9,M,1,4,1,3,0,1
BA,INDETERMINADA,DOMICILIO,< 9,M,1,4,2,0,0,1
BA,INDETERMINADA,HOSPITAL,< 9,F,2,4,2,1,0,0
BA,INDETERMINADA,HOSPITAL,< 9,M,4,4,2,1,0,1
BA,INDETERMINADA,VIA_PUBLICA,< 9,F,1,4,2,4,0,0
BA,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,< 9,F,6,4,3,0,0,0
BA,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,< 9,M,5,4,3,0,0,1
BA,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,< 9,F,128,4,3,1,0,0
BA,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,< 9,I,6,4,3,1,0,2
BA,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,< 9,M,166,4,3,1,0,1
BA,INSUFICIENCIA_RESPIRATORIA,IGNORADO,< 9,M,1,4,3,5,0,1
BA,INSUFICIENCIA_RESPIRATORIA,OUTRO,< 9,F,1,4,3,2,0,0
BA,INSUFICIENCIA_RESPIRATORIA,OUTRO,< 9,M,2,4,3,2,0,1
BA,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,< 9,F,5,4,3,3,0,0
BA,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,< 9,M,3,4,3,3,0,1
BA,INSUFICIENCIA_RESPIRATORIA,VIA_PUBLICA,< 9,F,3,4,3,4,0,0
BA,INSUFICIENCIA_RESPIRATORIA,VIA_PUBLICA,< 9,M,4,4,3,4,0,1
BA,PNEUMONIA,DOMICILIO,< 9,F,1,4,4,0,0,0
BA,PNEUMONIA,DOMICILIO,< 9,M,1,4,4,0,0,1
BA,PNEUMONIA,HOSPITAL,< 9,F,75,4,4,1,0,0
BA,PNEUMONIA,HOSPITAL,< 9,M,60,4,4,1,0,1
BA,PNEUMONIA,OUTRO,< 9,M,2,4,4,2,0,1
BA,PNEUMONIA,OUTROS_SERVICOS_SAUDE,< 9,F,3,4,4,3,0,0
BA,PNEUMONIA,OUTROS_SERVICOS_SAUDE,< 9,M,1,4,4,3,0,1
BA,PNEUMONIA,VIA_PUBLICA,< 9,F,1,4,4,4,0,0
BA,PNEUMONIA,VIA_PUBLICA,< 9,M,1,4,4,4,0,1
BA,SEPTICEMIA,DOMICILIO,< 9,F,1,4,5,0,0,0
BA,SEPTICEMIA,HOSPITAL,< 9,F,212,4,5,1,0,0
BA,SEPTICEMIA,HOSPITAL,< 9,I,1,4,5,1,0,2
BA,SEPTICEMIA,HOSPITAL,< 9,M,259,4,5,1,0,1
BA,SEPTICEMIA,IGNORADO,< 9,F,1,4,5,5,0,0
BA,SEPTICEMIA,IGNORADO,< 9,M,1,4,5,5,0,1
BA,SEPTICEMIA,OUTRO,< 9,M,2,4,5,2,0,1
BA,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,< 9,F,4,4,5,3,0,0
BA,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,< 9,M,2,4,5,3,0,1
BA,SEPTICEMIA,VIA_PUBLICA,< 9,M,2,4,5,4,0,1
BA,SRAG,HOSPITAL,< 9,F,18,4,6,1,0,0
BA,SRAG,HOSPITAL,< 9,I,1,4,6,1,0,2
BA,SRAG,HOSPITAL,< 9,M,12,4,6,1,0,1
BA,SRAG,OUTROS_SERVICOS_SAUDE,< 9,M,1,4,6,3,0,1
CE,OUTRAS,DOMICILIO,< 9,F,10,5,0,0,0,0
CE,OUTRAS,DOMICILIO,< 9,M,20,5,0,0,0,1
CE,OUTRAS,HOSPITAL,< 9,F,333,5,0,1,0,0
CE,OUTRAS,HOSPITAL,< 9,I,15,5,0,1,0,2
CE,OUTRAS,HOSPITAL,< 9,M,422,5,0,1,0,1
CE,OUTRAS,IGNORADO,< 9,F,4,5,0,5,0,0
CE,OUTRAS,IGNORADO,< 9,M,3,5,0,5,0,1
CE,OUTRAS,OUTRO,< 9,F,4,5,0,2,0,0
CE,OUTRAS,OUTRO,< 9,M,8,5,0,2,0,1
CE,OUTRAS,OUTROS_SERVICOS_SAUDE,< 9,F,11,5,0,3,0,0
CE,OUTRAS,OUTROS_SERVICOS_SAUDE,< 9,M,12,5,0,3,0,1
CE,OUTRAS,VIA_PUBLICA,< 9,F,2,5,0,4,0,0
CE,OUTRAS,VIA_PUBLICA,< 9,M,6,5,0,4,0,1
CE,COVID,HOSPITAL,< 9,F,3,5,1,1,0,0
CE,COVID,HOSPITAL,< 9,M,1,5,1,1,0,1
CE,INDETERMINADA,HOSPITAL,< 9,F,2,5,2,1,0,0
CE,INDETERMINADA,OUTRO,< 9,F,1,5,2,2,0,0
CE,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,< 9,F,1,5,3,0,0,0
CE,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,< 9,M,3,5,3,0,0,1
CE,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,< 9,F,37,5,3,1,0,0
CE,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,< 9,I,2,5,3,1,0,2
CE,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,< 9,M,48,5,3,1,0,1
CE,INSUFICIENCIA_RESPIRATORIA,OUTRO,< 9,F,1,5,3,2,0,0
CE,PNEUMONIA,DOMICILIO,< 9,F,4,5,4,0,0,0
CE,PNEUMONIA,DOMICILIO,< 9,M,3,5,4,0,0,1
CE,PNEUMONIA,HOSPITAL,< 9,F,40,5,4,1,0,0
CE,PNEUMONIA,HOSPITAL,< 9,M,59,5,4,1,0,1
CE,PNEUMONIA,OUTROS_SERVICOS_SAUDE,< 9,F,2,5,4,3,0,0
CE,PNEUMONIA,OUTROS_SERVICOS_SAUDE,< 9,M,1,5,4,3,0,1
CE,SEPTICEMIA,DOMICILIO,< 9,F,1,5,5,0,0,0
CE,SEPTICEMIA,HOSPITAL,< 9,F,122,5,5,1,0,0
CE,SEPTICEMIA,HOSPITAL,< 9,I,2,5,5,1,0,2
CE,SEPTICEMIA,HOSPITAL,< 9,M,136,5,5,1,0,1
CE,SEPTICEMIA,IGNORADO,< 9,F,1,5,5,5,0,0
CE,SEPTICEMIA,IGNORADO,< 9,M,1,5,5,5,0,1
CE,SEPTICEMIA,OUTRO,< 9,F,3,5,5,2,0,0
CE,SEPTICEMIA,OUTRO,< 9,M,2,5,5,2,0,1
CE,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,< 9,F,6,5,5,3,0,0
CE,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,< 9,M,4,5,5,3,0,1
CE,SRAG,HOSPITAL,< 9,F,5,5,6,1,0,0
CE,SRAG,HOSPITAL,< 9,M,10,5,6,1,0,1
DF,OUTRAS,DOMICILIO,< 9,F,7,6,0,0,0,0
DF,OUTRAS,DOMICILIO,< 9,M,2,6,0,0,0,1
DF,OUTRAS,HOSPITAL,< 9,F,120,6,0,1,0,0
DF,OUTRAS,HOSPITAL,< 9,I,2,6,0,1,0,2
DF,OUTRAS,HOSPITAL,< 9,M,143,6,0,1,0,1
DF,OUTRAS,IGNORADO,< 9,F,8,6,0,5,0,0
DF,OUTRAS,IGNORADO,< 9,M,7,6,0,5,0,1
DF,OUTRAS,OUTRO,< 9,M,3,6,0,2,0,1
DF,OUTRAS,OUTROS_SERVICOS_SAUDE,< 9,F,4,6,0,3,0,0
DF,OUTRAS,OUTROS_SERVICOS_SAUDE,< 9,M,2,6,0,3,0,1
DF,OUTRAS,VIA_PUBLICA,< 9,F,1,6,0,4,0,0
DF,OUTRAS,VIA_PUBLICA,< 9,M,2,6,0,4,0,1
DF,COVID,OUTROS_SERVICOS_SAUDE,< 9,F,1,6,1,3,0,0
DF,INDETERMINADA,HOSPITAL,< 9,F,3,6,2,1,0,0
DF,INDETERMINADA,HOSPITAL,< 9,M,3,6,2,1,0,1
DF,INDETERMINADA,OUTRO,< 9,M,1,6,2,2,0,1
DF,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,< 9,M,1,6,3,0,0,1
DF,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,< 9,F,24,6,3,1,0,0
DF,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,< 9,I,1,6,3,1,0,2
DF,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,< 9,M,31,6,3,1,0,1
DF,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,< 9,F,1,6,3,3,0,0
DF,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,< 9,M,2,6,3,3,0,1
DF,PNEUMONIA,DOMICILIO,< 9,M,1,6,4,0,0,1
DF,PNEUMONIA,HOSPITAL,< 9,F,17,6,4,1,0,0
DF,PNEUMONIA,HOSPITAL,< 9,M,18,6,4,1,0,1
DF,PNEUMONIA,OUTRO,< 9,F,1,6,4,2,0,0
DF,SEPTICEMIA,HOSPITAL,< 9,F,61,6,5,1,0,0
DF,SEPTICEMIA,HOSPITAL,< 9,M,71,6,5,1,0,1
DF,SEPTICEMIA,OUTRO,< 9,F,2,6,5,2,0,0
DF,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,< 9,F,3,6,5,3,0,0
DF,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,< 9,M,1,6,5,3,0,1
DF,SRAG,HOSPITAL,< 9,F,4,6,6,1,0,0
DF,SRAG,HOSPITAL,< 9,M,6,6,6,1,0,1
DF,SRAG,OUTRO,< 9,M,1,6,6,2,0,1
ES,OUTRAS,DOMICILIO,< 9,F,6,7,0,0,0,0
ES,OUTRAS,DOMICILIO,< 9,M,11,7,0,0,0,1
ES,OUTRAS,HOSPITAL,< 9,F,109,7,0,1,0,0
ES,OUTRAS,HOSPITAL,< 9,I,1,7,0,1,0,2
ES,OUTRAS,HOSPITAL,< 9,M,136,7,0,1,0,1
ES,OUTRAS,OUTRO,< 9,F,2,7,0,2,0,0
ES,OUTRAS,OUTRO,< 9,M,4,7,0,2,0,1
ES,OUTRAS,OUTROS_SERVICOS_SAUDE,< 9,F,8,7,0,3,0,0
ES,OUTRAS,OUTROS_SERVICOS_SAUDE,< 9,M,4,7,0,3,0,1
ES,OUTRAS,VIA_PUBLICA,< 9,F,1,7,0,4,0,0
ES,OUTRAS,VIA_PUBLICA,< 9,M,3,7,0,4,0,1
ES,COVID,HOSPITAL,< 9,F,1,7,1,1,0,0
ES,COVID,HOSPITAL,< 9,M,1,7,1,1,0,1
ES,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,< 9,F,13,7,3,1,0,0
ES,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,< 9,M,17,7,3,1,0,1
ES,INSUFICIENCIA_RESPIRATORIA,OUTRO,< 9,M,2,7,3,2,0,1
ES,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,< 9,M,2,7,3,3,0,1
ES,PNEUMONIA,DOMICILIO,< 9,F,1,7,4,0,0,0
ES,PNEUMONIA,HOSPITAL,< 9,F,32,7,4,1,0,0
ES,PNEUMONIA,HOSPITAL,< 9,M,35,7,4,1,0,1
ES,PNEUMONIA,OUTRO,< 9,F,1,7,4,2,0,0
ES,PNEUMONIA,OUTROS_SERVICOS_SAUDE,< 9,F,3,7,4,3,0,0
ES,PNEUMONIA,OUTROS_SERVICOS_SAUDE,< 9,M,3,7,4,3,0,1
ES,SEPTICEMIA,DOMICILIO,< 9,M,1,7,5,0,0,1
ES,SEPTICEMIA,HOSPITAL,< 9,F,75,7,5,1,0,0
ES,SEPTICEMIA,HOSPITAL,< 9,M,76,7,5,1,0,1
ES,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,< 9,M,1,7,5,3,0,1
ES,SRAG,HOSPITAL,< 9,F,2,7,6,1,0,0
ES,SRAG,HOSPITAL,< 9,M,5,7,6,1,0,1
GO,OUTRAS,DOMICILIO,< 9,F,7,8,0,0,0,0
GO,OUTRAS,DOMICILIO,< 9,M,9,8,0,0,0,1
GO,OUTRAS,HOSPITAL,< 9,F,140,8,0,1,0,0
GO,OUTRAS,HOSPITAL,< 9,I,2,8,0,1,0,2
GO,OUTRAS,HOSPITAL,< 9,M,186,8,0,1,0,1
GO,OUTRAS,IGNORADO,< 9,F,1,8,0,5,0,0
GO,OUTRAS,IGNORADO,< 9,M,3,8,0,5,0,1
GO,OUTRAS,OUTRO,< 9,F,3,8,0,2,0,0
GO,OUTRAS,OUTRO,< 9,M,9,8,0,2,0,1
GO,OUTRAS,OUTROS_SERVICOS_SAUDE,< 9,F,27,8,0,3,0,0
GO,OUTRAS,OUTROS_SERVICOS_SAUDE,< 9,M,26,8,0,3,0,1
GO,OUTRAS,VIA_PUBLICA,< 9,M,2,8,0,4,0,1
GO,COVID,HOSPITAL,< 9,F,4,8,1,1,0,0
GO,COVID,HOSPITAL,< 9,M,4,8,1,1,0,1
GO,COVID,OUTROS_SERVICOS_SAUDE,< 9,F,1,8,1,3,0,0
GO,INDETERMINADA,DOMICILIO,< 9,M,2,8,2,0,0,1
GO,INDETERMINADA,HOSPITAL,< 9,F,1,8,2,1,0,0
GO,INDETERMINADA,HOSPITAL,< 9,M,1,8,2,1,0,1
GO,INDETERMINADA,OUTROS_SERVICOS_SAUDE,< 9,F,2,8,2,3,0,0
GO,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,< 9,F,3,8,3,0,0,0
GO,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,< 9,M,3,8,3,0,0,1
GO,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,< 9,F,59,8,3,1,0,0
GO,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,< 9,M,60,8,3,1,0,1
GO,INSUFICIENCIA_RESPIRATORIA,OUTRO,< 9,F,2,8,3,2,0,0
GO,INSUFICIENCIA_RESPIRATORIA,OUTRO,< 9,M,1,8,3,2,0,1
GO,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,< 9,F,5,8,3,3,0,0
GO,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,< 9,M,3,8,3,3,0,1
GO,INSUFICIENCIA_RESPIRATORIA,VIA_PUBLICA,< 9,M,1,8,3,4,0,1
GO,PNEUMONIA,DOMICILIO,< 9,F,2,8,4,0,0,0
GO,PNEUMONIA,DOMICILIO,< 9,M,4,8,4,0,0,1
GO,PNEUMONIA,HOSPITAL,< 9,F,25,8,4,1,0,0
GO,PNEUMONIA,HOSPITAL,< 9,M,34,8,4,1,0,1
GO,PNEUMONIA,IGNORADO,< 9,F,1,8,4,5,0,0
GO,PNEUMONIA,IGNORADO,< 9,M,2,8,4,5,0,1
GO,PNEUMONIA,OUTROS_SERVICOS_SAUDE,< 9,F,5,8,4,3,0,0
GO,PNEUMONIA,OUTROS_SERVICOS_SAUDE,< 9,M,12,8,4,3,0,1
GO,PNEUMONIA,VIA_PUBLICA,< 9,F,1,8,4,4,0,0
GO,SEPTICEMIA,DOMICILIO,< 9,F,1,8,5,0,0,0
GO,SEPTICEMIA,DOMICILIO,< 9,M,1,8,5,0,0,1
GO,SEPTICEMIA,HOSPITAL,< 9,F,73,8,5,1,0,0
GO,SEPTICEMIA,HOSPITAL,< 9,M,105,8,5,1,0,1
GO,SEPTICEMIA,IGNORADO,< 9,F,1,8,5,5,0,0
GO,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,< 9,F,7,8,5,3,0,0
GO,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,< 9,M,8,8,5,3,0,1
GO,SRAG,HOSPITAL,< 9,F,2,8,6,1,0,0
GO,SRAG,HOSPITAL,< 9,M,5,8,6,1,0,1
GO,SRAG,OUTRO,< 9,M,1,8,6,2,0,1
MA,OUTRAS,AMBULANCIA,< 9,F,2,9,0,7,0,0
MA,OUTRAS,AMBULANCIA,< 9,M,2,9,0,7,0,1
MA,OUTRAS,DOMICILIO,< 9,F,17,9,0,0,0,0
MA,OUTRAS,DOMICILIO,< 9,M,17,9,0,0,0,1
MA,OUTRAS,HOSPITAL,< 9,F,192,9,0,1,0,0
MA,OUTRAS,HOSPITAL,< 9,I,4,9,0,1,0,2
MA,OUTRAS,HOSPITAL,< 9,M,264,9,0,1,0,1
MA,OUTRAS,IGNORADO,< 9,F,1,9,0,5,0,0
MA,OUTRAS,IGNORADO,< 9,I,1,9,0,5,0,2
MA,OUTRAS,OUTRO,< 9,F,12,9,0,2,0,0
