uf,tipo_doenca,local_obito,faixa_etaria,sexo,total
BA,OUTRAS,VIA_PUBLICA,"< 9",F,4
BA,OUTRAS,VIA_PUBLICA,"< 9",M,4
BA,COVID,HOSPITAL,"< 9",F,3
BA,COVID,HOSPITAL,"< 9",M,1
BA,COVID,OUTROS_SERVICOS_SAUDE,"< 9",M,1
BA,INDETERMINADA,DOMICILIO,"< 9",M,1
BA,INDETERMINADA,HOSPITAL,"< 9",F,2
BA,INDETERMINADA,HOSPITAL,"< 9",M,4
BA,INDETERMINADA,VIA_PUBLICA,"< 9",F,1
BA,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",F,6
BA,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",M,5
BA,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,128
BA,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",I,6
BA,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,166
BA,INSUFICIENCIA_RESPIRATORIA,IGNORADO,"< 9",M,1
BA,INSUFICIENCIA_RESPIRATORIA,OUTRO,"< 9",F,1
BA,INSUFICIENCIA_RESPIRATORIA,OUTRO,"< 9",M,2
BA,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"< 9",F,5
BA,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"< 9",M,3
BA,INSUFICIENCIA_RESPIRATORIA,VIA_PUBLICA,"< 9",F,3
BA,INSUFICIENCIA_RESPIRATORIA,VIA_PUBLICA,"< 9",M,4
BA,PNEUMONIA,DOMICILIO,"< 9",F,1
BA,PNEUMONIA,DOMICILIO,"< 9",M,1
BA,PNEUMONIA,HOSPITAL,"< 9",F,75
BA,PNEUMONIA,HOSPITAL,"< 9",M,60
BA,PNEUMONIA,OUTRO,"< 9",M,2
BA,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"< 9",F,3
BA,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"< 9",M,1
BA,PNEUMONIA,VIA_PUBLICA,"< 9",F,1
BA,PNEUMONIA,VIA_PUBLICA,"< 9",M,1
BA,SEPTICEMIA,DOMICILIO,"< 9",F,1
BA,SEPTICEMIA,HOSPITAL,"< 9",F,212
BA,SEPTICEMIA,HOSPITAL,"< 9",I,1
BA,SEPTICEMIA,HOSPITAL,"< 9",M,259
BA,SEPTICEMIA,IGNORADO,"< 9",F,1
BA,SEPTICEMIA,IGNORADO,"< 9",M,1
BA,SEPTICEMIA,OUTRO,"< 9",M,2
BA,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"< 9",F,4
BA,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"< 9",M,2
BA,SEPTICEMIA,VIA_PUBLICA,"< 9",M,2
BA,SRAG,HOSPITAL,"< 9",F,18
BA,SRAG,HOSPITAL,"< 9",I,1
BA,SRAG,HOSPITAL,"< 9",M,12
BA,SRAG,OUTROS_SERVICOS_SAUDE,"< 9",M,1
CE,OUTRAS,DOMICILIO,"< 9",F,10
CE,OUTRAS,DOMICILIO,"< 9",M,20
CE,OUTRAS,HOSPITAL,"< 9",F,333
CE,OUTRAS,HOSPITAL,"< 9",I,15
CE,OUTRAS,HOSPITAL,"< 9",M,422
CE,OUTRAS,IGNORADO,"< 9",F,4
CE,OUTRAS,IGNORADO,"< 9",M,3
CE,OUTRAS,OUTRO,"< 9",F,4
CE,OUTRAS,OUTRO,"< 9",M,8
CE,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",F,11
CE,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",M,12
CE,OUTRAS,VIA_PUBLICA,"< 9",F,2
CE,OUTRAS,VIA_PUBLICA,"< 9",M,6
CE,COVID,HOSPITAL,"< 9",F,3
CE,COVID,HOSPITAL,"< 9",M,1
CE,INDETERMINADA,HOSPITAL,"< 9",F,2
CE,INDETERMINADA,OUTRO,"< 9",F,1
CE,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",F,1
CE,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",M,3
CE,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,37
CE,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",I,2
CE,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,48
CE,INSUFICIENCIA_RESPIRATORIA,OUTRO,"< 9",F,1
CE,PNEUMONIA,DOMICILIO,"< 9",F,4
CE,PNEUMONIA,DOMICILIO,"< 9",M,3
CE,PNEUMONIA,HOSPITAL,"< 9",F,40
CE,PNEUMONIA,HOSPITAL,"< 9",M,59
CE,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"< 9",F,2
CE,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"< 9",M,1
CE,SEPTICEMIA,DOMICILIO,"< 9",F,1
CE,SEPTICEMIA,HOSPITAL,"< 9",F,122
CE,SEPTICEMIA,HOSPITAL,"< 9",I,2
CE,SEPTICEMIA,HOSPITAL,"< 9",M,136
CE,SEPTICEMIA,IGNORADO,"< 9",F,1
CE,SEPTICEMIA,IGNORADO,"< 9",M,1
CE,SEPTICEMIA,OUTRO,"< 9",F,3
CE,SEPTICEMIA,OUTRO,"< 9",M,2
CE,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"< 9",F,6
CE,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"< 9",M,4
CE,SRAG,HOSPITAL,"< 9",F,5
CE,SRAG,HOSPITAL,"< 9",M,10
DF,OUTRAS,DOMICILIO,"< 9",F,7
DF,OUTRAS,DOMICILIO,"< 9",M,2
DF,OUTRAS,HOSPITAL,"< 9",F,120
DF,OUTRAS,HOSPITAL,"< 9",I,2
DF,OUTRAS,HOSPITAL,"< 9",M,143
DF,OUTRAS,IGNORADO,"< 9",F,8
DF,OUTRAS,IGNORADO,"< 9",M,7
DF,OUTRAS,OUTRO,"< 9",M,3
DF,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",F,4
DF,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",M,2
DF,OUTRAS,VIA_PUBLICA,"< 9",F,1
DF,OUTRAS,VIA_PUBLICA,"< 9",M,2
DF,COVID,OUTROS_SERVICOS_SAUDE,"< 9",F,1
DF,INDETERMINADA,HOSPITAL,"< 9",F,3
DF,INDETERMINADA,HOSPITAL,"< 9",M,3
DF,INDETERMINADA,OUTRO,"< 9",M,1
DF,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",M,1
DF,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,24
DF,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",I,1
DF,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,31
DF,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"< 9",F,1
DF,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"< 9",M,2
DF,PNEUMONIA,DOMICILIO,"< 9",M,1
DF,PNEUMONIA,HOSPITAL,"< 9",F,17
DF,PNEUMONIA,HOSPITAL,"< 9",M,18
DF,PNEUMONIA,OUTRO,"< 9",F,1
DF,SEPTICEMIA,HOSPITAL,"< 9",F,61
DF,SEPTICEMIA,HOSPITAL,"< 9",M,71
DF,SEPTICEMIA,OUTRO,"< 9",F,2
DF,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"< 9",F,3
DF,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"< 9",M,1
DF,SRAG,HOSPITAL,"< 9",F,4
DF,SRAG,HOSPITAL,"< 9",M,6
DF,SRAG,OUTRO,"< 9",M,1
ES,OUTRAS,DOMICILIO,"< 9",F,6
ES,OUTRAS,DOMICILIO,"< 9",M,11
ES,OUTRAS,HOSPITAL,"< 9",F,109
ES,OUTRAS,HOSPITAL,"< 9",I,1
ES,OUTRAS,HOSPITAL,"< 9",M,136
ES,OUTRAS,OUTRO,"< 9",F,2
ES,OUTRAS,OUTRO,"< 9",M,4
ES,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",F,8
ES,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",M,4
ES,OUTRAS,VIA_PUBLICA,"< 9",F,1
ES,OUTRAS,VIA_PUBLICA,"< 9",M,3
ES,COVID,HOSPITAL,"< 9",F,1
ES,COVID,HOSPITAL,"< 9",M,1
ES,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,13
ES,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,17
ES,INSUFICIENCIA_RESPIRATORIA,OUTRO,"< 9",M,2
ES,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"< 9",M,2
ES,PNEUMONIA,DOMICILIO,"< 9",F,1
ES,PNEUMONIA,HOSPITAL,"< 9",F,32
ES,PNEUMONIA,HOSPITAL,"< 9",M,35
ES,PNEUMONIA,OUTRO,"< 9",F,1
ES,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"< 9",F,3
ES,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"< 9",M,3
ES,SEPTICEMIA,DOMICILIO,"< 9",M,1
ES,SEPTICEMIA,HOSPITAL,"< 9",F,75
ES,SEPTICEMIA,HOSPITAL,"< 9",M,76
ES,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"< 9",M,1
ES,SRAG,HOSPITAL,"< 9",F,2
ES,SRAG,HOSPITAL,"< 9",M,5
GO,OUTRAS,DOMICILIO,"< 9",F,7
GO,OUTRAS,DOMICILIO,"< 9",M,9
GO,OUTRAS,HOSPITAL,"< 9",F,140
GO,OUTRAS,HOSPITAL,"< 9",I,2
GO,OUTRAS,HOSPITAL,"< 9",M,186
GO,OUTRAS,IGNORADO,"< 9",F,1
GO,OUTRAS,IGNORADO,"< 9",M,3
GO,OUTRAS,OUTRO,"< 9",F,3
GO,OUTRAS,OUTRO,"< 9",M,9
GO,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",F,27
GO,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",M,26
GO,OUTRAS,VIA_PUBLICA,"< 9",M,2
GO,COVID,HOSPITAL,"< 9",F,4
GO,COVID,HOSPITAL,"< 9",M,4
GO,COVID,OUTROS_SERVICOS_SAUDE,"< 9",F,1
GO,INDETERMINADA,DOMICILIO,"< 9",M,2
GO,INDETERMINADA,HOSPITAL,"< 9",F,1
GO,INDETERMINADA,HOSPITAL,"< 9",M,1
GO,INDETERMINADA,OUTROS_SERVICOS_SAUDE,"< 9",F,2
GO,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",F,3
GO,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",M,3
GO,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,59
GO,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,60
GO,INSUFICIENCIA_RESPIRATORIA,OUTRO,"< 9",F,2
GO,INSUFICIENCIA_RESPIRATORIA,OUTRO,"< 9",M,1
GO,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"< 9",F,5
GO,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"< 9",M,3
GO,INSUFICIENCIA_RESPIRATORIA,VIA_PUBLICA,"< 9",M,1
GO,PNEUMONIA,DOMICILIO,"< 9",F,2
GO,PNEUMONIA,DOMICILIO,"< 9",M,4
GO,PNEUMONIA,HOSPITAL,"< 9",F,25
GO,PNEUMONIA,HOSPITAL,"< 9",M,34
GO,PNEUMONIA,IGNORADO,"< 9",F,1
GO,PNEUMONIA,IGNORADO,"< 9",M,2
GO,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"< 9",F,5
GO,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"< 9",M,12
GO,PNEUMONIA,VIA_PUBLICA,"< 9",F,1
GO,SEPTICEMIA,DOMICILIO,"< 9",F,1
GO,SEPTICEMIA,DOMICILIO,"< 9",M,1
GO,SEPTICEMIA,HOSPITAL,"< 9",F,73
GO,SEPTICEMIA,HOSPITAL,"< 9",M,105
GO,SEPTICEMIA,IGNORADO,"< 9",F,1
GO,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"< 9",F,7
GO,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"< 9",M,8
GO,SRAG,HOSPITAL,"< 9",F,2
GO,SRAG,HOSPITAL,"< 9",M,5
GO,SRAG,OUTRO,"< 9",M,1
MA,OUTRAS,AMBULANCIA,"< 9",F,2
MA,OUTRAS,AMBULANCIA,"< 9",M,2
MA,OUTRAS,DOMICILIO,"< 9",F,17
MA,OUTRAS,DOMICILIO,"< 9",M,17
MA,OUTRAS,HOSPITAL,"< 9",F,192
MA,OUTRAS,HOSPITAL,"< 9",I,4
MA,OUTRAS,HOSPITAL,"< 9",M,264
MA,OUTRAS,IGNORADO,"< 9",F,1
MA,OUTRAS,IGNORADO,"< 9",I,1
MA,OUTRAS,OUTRO,"< 9",F,12
MA,OUTRAS,OUTRO,"< 9",M,18
MA,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",F,1
MA,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",M,7
MA,OUTRAS,VIA_PUBLICA,"< 9",F,1
MA,OUTRAS,VIA_PUBLICA,"< 9",M,1
MA,COVID,HOSPITAL,"< 9",F,2
MA,COVID,HOSPITAL,"< 9",M,2
MA,INDETERMINADA,HOSPITAL,"< 9",F,2
MA,INDETERMINADA,HOSPITAL,"< 9",M,1
MA,INSUFICIENCIA_RESPIRATORIA,AMBULANCIA,"< 9",M,1
MA,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",M,4
MA,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,25
MA,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,37
MA,INSUFICIENCIA_RESPIRATORIA,OUTRO,"< 9",F,3
MA,INSUFICIENCIA_RESPIRATORIA,OUTRO,"< 9",M,1
MA,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"< 9",M,2
MA,PNEUMONIA,AMBULANCIA,"< 9",M,1
MA,PNEUMONIA,DOMICILIO,"< 9",F,2
MA,PNEUMONIA,DOMICILIO,"< 9",M,3
MA,PNEUMONIA,HOSPITAL,"< 9",F,30
MA,PNEUMONIA,HOSPITAL,"< 9",M,29
MA,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"< 9",F,1
MA,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"< 9",M,1
MA,SEPTICEMIA,HOSPITAL,"< 9",F,74
MA,SEPTICEMIA,HOSPITAL,"< 9",I,1
MA,SEPTICEMIA,HOSPITAL,"< 9",M,76
MA,SEPTICEMIA,OUTRO,"< 9",F,1
MA,SEPTICEMIA,OUTRO,"< 9",M,5
MA,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"< 9",F,1
MA,SRAG,HOSPITAL,"< 9",F,2
MA,SRAG,HOSPITAL,"< 9",M,5
MG,OUTRAS,DOMICILIO,"< 9",F,39
MG,OUTRAS,DOMICILIO,"< 9",M,54
MG,OUTRAS,HOSPITAL,"< 9",F,554
MG,OUTRAS,HOSPITAL,"< 9",I,7
MG,OUTRAS,HOSPITAL,"< 9",M,657
MG,OUTRAS,IGNORADO,"< 9",F,4
MG,OUTRAS,IGNORADO,"< 9",I,1
MG,OUTRAS,IGNORADO,"< 9",M,9
MG,OUTRAS,OUTRO,"< 9",F,6
MG,OUTRAS,OUTRO,"< 9",M,7
MG,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",F,20
MG,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",M,21
MG,OUTRAS,VIA_PUBLICA,"< 9",M,6
MG,COVID,HOSPITAL,"< 9",F,3
MG,COVID,HOSPITAL,"< 9",M,4
MG,INDETERMINADA,DOMICILIO,"< 9",F,4
MG,INDETERMINADA,DOMICILIO,"< 9",M,4
MG,INDETERMINADA,HOSPITAL,"< 9",F,5
MG,INDETERMINADA,HOSPITAL,"< 9",M,12
MG,INDETERMINADA,OUTROS_SERVICOS_SAUDE,"< 9",F,2
MG,INDETERMINADA,OUTROS_SERVICOS_SAUDE,"< 9",M,2
MG,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",F,8
MG,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",M,10
MG,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,108
MG,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",I,1
MG,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,151
MG,INSUFICIENCIA_RESPIRATORIA,IGNORADO,"< 9",F,1
MG,INSUFICIENCIA_RESPIRATORIA,OUTRO,"< 9",M,1
MG,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"< 9",F,3
MG,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"< 9",M,2
MG,PNEUMONIA,DOMICILIO,"< 9",F,3
MG,PNEUMONIA,DOMICILIO,"< 9",M,7
MG,PNEUMONIA,HOSPITAL,"< 9",F,96
MG,PNEUMONIA,HOSPITAL,"< 9",M,103
MG,PNEUMONIA,IGNORADO,"< 9",F,3
MG,PNEUMONIA,IGNORADO,"< 9",M,1
MG,PNEUMONIA,OUTRO,"< 9",M,1
MG,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"< 9",F,9
MG,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"< 9",M,2
MG,SEPTICEMIA,DOMICILIO,"< 9",F,1
MG,SEPTICEMIA,HOSPITAL,"< 9",F,283
MG,SEPTICEMIA,HOSPITAL,"< 9",M,355
MG,SEPTICEMIA,IGNORADO,"< 9",F,3
MG,SEPTICEMIA,IGNORADO,"< 9",M,2
MG,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"< 9",F,1
MG,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"< 9",M,3
MG,SEPTICEMIA,VIA_PUBLICA,"< 9",M,1
MG,SRAG,HOSPITAL,"< 9",F,15
MG,SRAG,HOSPITAL,"< 9",M,7
MS,OUTRAS,DOMICILIO,"< 9",F,16
MS,OUTRAS,DOMICILIO,"< 9",M,19
MS,OUTRAS,HOSPITAL,"< 9",F,191
MS,OUTRAS,HOSPITAL,"< 9",M,203
MS,OUTRAS,IGNORADO,"< 9",M,1
MS,OUTRAS,OUTRO,"< 9",F,1
MS,OUTRAS,OUTRO,"< 9",M,3
MS,OUTRAS,VIA_PUBLICA,"< 9",F,2
MS,COVID,HOSPITAL,"< 9",M,1
MS,INDETERMINADA,DOMICILIO,"< 9",F,2
MS,INDETERMINADA,HOSPITAL,"< 9",F,1
MS,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",M,3
MS,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,29
MS,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,36
MS,INSUFICIENCIA_RESPIRATORIA,OUTRO,"< 9",M,1
MS,INSUFICIENCIA_RESPIRATORIA,POSTO_SAUDE,"< 9",F,1
